,timestamp,t_indoor_measured_core,t_indoor_predicted_core,t_indoor_predicted_after_kalman_core,t_indoor_measured_perimeter1,t_indoor_predicted_perimeter1,t_indoor_predicted_after_kalman_perimeter1,t_indoor_measured_perimeter2,t_indoor_predicted_perimeter2,t_indoor_predicted_after_kalman_perimeter2,t_indoor_measured_perimeter3,t_indoor_predicted_perimeter3,t_indoor_predicted_after_kalman_perimeter3,t_indoor_measured_perimeter4,t_indoor_predicted_perimeter4,t_indoor_predicted_after_kalman_perimeter4
2017-01-04 00:00:00,2017/01/04 00:00:00,20.928745580156146,27.087600823434343,20.8194,20.282725922772045,25.889096380748697,19.4858,20.271195554503095,25.540135005370303,18.1048,20.303583222279883,23.740033747134476,20.5878,20.268028723210364,25.812168540866594,19.7351
2017-01-04 00:05:00,2017/01/04 00:05:00,21.851707142844305,20.81943353288625,21.3199,20.56298390961399,19.485813343501093,19.877,20.53839335037395,18.10482012225782,20.8959,20.604535396102563,20.587766515467706,19.7164,20.53209804786212,19.73514693084303,20.429
2017-01-04 00:10:00,2017/01/04 00:10:00,21.815516197393208,21.319932617622555,21.547,20.42962929259585,19.876953454706893,20.1043,20.403283517798172,20.895919156409605,20.9882,20.498996789335592,19.716434824281237,19.8163,20.398413942937736,20.428990305108414,20.7153
2017-01-04 00:15:00,2017/01/04 00:15:00,21.780124306473567,21.546971184705797,21.5651,20.297576746723223,20.104318242041927,20.1789,20.2703755002085,20.988190672760936,20.9477,20.394551455776252,19.816281645333618,19.6664,20.26691513139758,20.71529632457043,20.7005
2017-01-04 00:20:00,2017/01/04 00:20:00,21.800852635659908,21.565096413414665,21.4872,20.17221501911183,20.178932602700684,20.0825,20.12774088705123,20.94772374384638,20.6879,20.253785822092652,19.666364396429458,19.549,20.12514856711539,20.700505413544533,20.5437
2017-01-04 00:25:00,2017/01/04 00:25:00,21.822307322118036,21.487198252932785,21.4539,20.048123169987775,20.08250688939654,19.9969,19.98744789896989,20.687895707914095,20.5107,20.114465362932265,19.54902531746916,19.471,19.98571147731377,20.54367489217657,20.4122
2017-01-04 00:30:00,2017/01/04 00:30:00,21.812083474956182,21.453945991288094,21.4643,19.987813524443425,19.99688211804454,19.943,19.929072912611616,20.510697939215788,20.3819,20.05193544897145,19.470983318342974,19.4462,19.927028904838494,20.41215543839786,20.3226
2017-01-04 00:35:00,2017/01/04 00:35:00,21.802798636646116,21.46434932794648,21.4727,19.928085973203906,19.942956309631484,19.8882,19.871587251366464,20.381850269068536,20.2608,19.990056221094278,19.446233330824043,19.4262,19.869234984519153,20.32261684167287,20.235
2017-01-04 00:40:00,2017/01/04 00:40:00,21.76916572865207,21.47270238480627,21.4803,19.88492466043573,19.88823912468297,19.8359,19.830417760363957,20.260839187421254,20.1525,19.953357165570765,19.4261609185761,19.4125,19.82774286756205,20.23499229828468,20.1533
2017-01-04 00:45:00,2017/01/04 00:45:00,21.73651213826645,21.480329909229624,21.4849,19.842055945263724,19.835930318272858,19.7855,19.78964476330367,20.15245775010345,20.0553,19.91693987035933,19.41245447965349,19.3999,19.786644590850358,20.153259883236274,20.0759
